id_typ_pojazdu,id_marki,id_modelu,id_wymagana_kat_p_j,przebieg,rodz_paliwa,nr_rejestr
1,7,11,5,153485.910974,ropa,WI65107
1,4,14,8,9701.10250933,benzyna,WI13666
1,8,13,14,176239.175034,ropa,WI72381
1,8,12,13,204130.9088,ropa,WI81901
1,0,5,9,167576.61184,benzyna,WI17409
1,5,16,9,206451.785962,olej,WI35044
1,7,16,6,143559.896288,gaz,WI79378
1,8,2,9,118848.87731,gaz,WI57144
1,6,16,2,93786.8853904,olej,WI77772
1,8,0,9,125331.736906,olej,WI83884
1,8,16,1,78299.7010143,olej,WI92504
1,3,10,3,240909.616269,olej,WI65372
1,1,11,10,105165.986633,gaz,WI57584
1,2,12,10,11538.421504,gaz,WI24410
1,6,9,5,292435.562246,benzyna,WI40263
1,0,1,2,266775.268706,benzyna,WI22539
1,5,14,13,67342.3891059,olej,WI69791
1,7,1,7,161696.424938,ropa,WI35401
1,7,8,9,20826.7560968,ropa,WI40131
1,9,15,13,255547.842588,ropa,WI10960
1,2,8,2,18004.3562223,gaz,WI80145
1,9,9,9,84236.9403223,benzyna,WI17178
1,8,18,7,106907.90898,gaz,WI55604
1,5,16,5,25280.6571023,ropa,WI92289
1,0,3,9,176662.743396,ropa,WI48015
1,8,6,12,241918.055351,ropa,WI24201
1,6,15,6,277756.608077,gaz,WI42451
1,7,4,13,28298.4015261,benzyna,WI82362
1,0,0,14,84471.1043983,olej,WI32690
1,0,9,3,225367.615307,olej,WI90576
1,3,8,9,189991.546762,olej,WI66874
1,9,14,9,131272.227598,olej,WI11311
1,6,18,7,138961.529889,olej,WI89551
1,8,18,1,210025.479602,olej,WI69941
1,3,10,8,116554.154902,ropa,WI79130
1,6,4,6,250960.783808,ropa,WI81016
1,6,4,4,38107.4032478,olej,WI31131
1,9,8,3,174987.959213,benzyna,WI31183
1,3,2,3,20937.050071,gaz,WI18411
1,3,9,5,128540.52667,gaz,WI67734
1,8,8,8,197695.614218,olej,WI69899
1,5,9,6,268853.034061,ropa,WI39268
1,5,11,8,35138.2053107,ropa,WI93919
1,4,12,8,144275.978092,benzyna,WI10857
1,9,7,15,156847.540398,benzyna,WI95049
1,9,1,2,251859.927548,olej,WI83501
1,4,0,10,112404.755817,benzyna,WI43635
1,6,2,0,53108.5120994,gaz,WI78274
1,1,1,15,238984.464222,ropa,WI84856
1,0,7,12,53632.2708735,olej,WI33955
1,9,18,14,129732.093731,olej,WI33711
1,6,3,2,161340.830894,ropa,WI70751
1,5,18,2,258889.713086,gaz,WI89415
1,1,8,12,231110.700497,olej,WI27012
1,5,16,12,11106.0995808,ropa,WI12096
1,9,0,7,213954.063502,gaz,WI67289
1,5,2,5,168865.765991,gaz,WI47281
1,9,6,11,195896.963228,benzyna,WI65789
1,3,14,15,22185.8949971,ropa,WI26617
1,3,13,13,246728.434119,ropa,WI36557
1,3,6,13,279066.587731,gaz,WI73317
1,3,2,8,170248.019703,ropa,WI19546
1,2,18,3,208884.858341,ropa,WI58273
1,4,6,4,268224.215995,ropa,WI37363
1,3,3,1,114442.166799,ropa,WI31627
1,4,9,8,94660.076234,olej,WI13185
1,0,7,13,106466.336968,olej,WI58976
1,4,15,8,76812.2330749,ropa,WI20229
1,3,13,10,77864.5736278,ropa,WI95565
1,3,14,10,190273.851963,gaz,WI96172
1,8,16,6,150017.781062,ropa,WI17623
1,0,13,12,282266.884313,gaz,WI36523
1,0,0,13,12103.2735133,ropa,WI34098
1,4,3,14,207943.30487,olej,WI99793
1,8,9,8,171661.764027,olej,WI85334
1,3,13,10,131372.3559,benzyna,WI14450
1,7,6,11,252552.996005,benzyna,WI52977
1,5,13,14,168257.147469,ropa,WI40964
1,9,17,14,299791.942437,gaz,WI90349
1,5,14,4,131203.177871,gaz,WI60680
